crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,average salinity/alkalinity (percentage)
Pigeonpea,1.9299999,1.46,0.067000002,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki,67.4958341,44.39473326
Pigeonpea,0.1,0.050000001,0,238,2017,16,Uttarakhand,428,112,36,Almorah,0,0
Pigeonpea,0.029999999,0.01,0,239,2017,16,Uttarakhand,475,127,43,Pithorgarh,0,0
Pigeonpea,0.37,0.28999999,0,240,2017,16,Uttarakhand,86,45,2,Chamoli,95.19750125,0.127974096
Pigeonpea,0.44999999,0.41,0,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi,90.10083333,0
Pigeonpea,1.54,1.75,0,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal,109.9833328,1.340415995
Pigeonpea,0.67000002,0.52999997,0,243,2017,16,Uttarakhand,374,103,6,Garhwal,0,0
Pigeonpea,0.31,0.27000001,0,244,2017,16,Uttarakhand,3319,887,99,Dehradun,118.2775007,7.676887549
Pigeonpea,0.25999999,0.16,0,601,2017,17,Assam,18845,6022,5409,Cachar,316.3100582,0
Pigeonpea,1.03,0.92000002,0,602,2017,17,Assam,17159,5484,4925,Darrang,127.8719384,0
Pigeonpea,0.14,0.090000004,0,603,2017,17,Assam,15212,4861,4367,Dibrugarh,185.306665,0
Pigeonpea,1.1,0.89999998,0,604,2017,17,Assam,30285,9638,8693,Goalpara,243.0850001,0
Pigeonpea,0.68000001,0.69999999,0.078000002,605,2017,17,Assam,27341,8737,7849,Kamrup,170.7373426,0.007592246
Pigeonpea,1.09,0.86000001,0,606,2017,17,Assam,3226,1031,926,Karbi Anglong,0,0
Pigeonpea,0.07,0.059999999,0,607,2017,17,Assam,10347,3306,2966,Lakhimpur,225.1928481,0.421320792
Pigeonpea,0.55000001,0.46000001,0,609,2017,17,Assam,15521,4960,4456,Nagaon,137.8866674,0
Pigeonpea,0.02,0.01,0,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla,73.25333426,1.735352711
Pigeonpea,0.01,0.01,0,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur,87.42833218,0.248091983
Pigeonpea,0.20999999,0.31999999,0,658,2017,19,Kerala,28176,5271,6717,Palakkad,59.84250017,0
Pigeonpea,1.63,2.96,0,901,2017,2,Bihar,125927,46593,20330,Champaran,0,0
Pigeonpea,1.1799999,2.8800001,0.34999999,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur,69.18083334,32.96913214
Pigeonpea,1.1799999,1.15,0.050000001,903,2017,2,Bihar,79877,31528,13340,Darbhanga,101.3341655,0.001554714
Pigeonpea,0.029999999,0.050000001,0,904,2017,2,Bihar,44082,18294,11692,Saharsa,91.80250175,4.42241708
Pigeonpea,1.95,2.8900001,0,906,2017,2,Bihar,65685,16211,3535,Saran,44.1658326,36.82237186
Pigeonpea,1.15,2.49,0.12,907,2017,2,Bihar,90899,24771,4278,Patna,58.3816665,7.589995311
Pigeonpea,3.8299999,4.0100002,0,908,2017,2,Bihar,125661,42562,21130,Mungair,0,0
Pigeonpea,1.3200001,1.7,0,909,2017,2,Bihar,60780,19306,11211,Bhagalpur,79.852499,2.950756596
Pigeonpea,40.549999,28.610001,0,910,2017,15,Jharkhand,29186,28287,7303,Santhal Paragana / Dumka,0,0
Pigeonpea,2.9400001,3.8699999,0,911,2017,2,Bihar,162928,50799,7932,Shahabad (now part of Bhojpur district),0,0
Pigeonpea,3.1300001,2.8699999,0.13,912,2017,2,Bihar,99317,30221,4369,Gaya,63.81083251,1.25790507
Pigeonpea,41.75,47.549999,0.022,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh,111.5466684,0
Pigeonpea,5.3699999,5.23,0,914,2017,15,Jharkhand,427,297,82,Dhanbad,99.38583509,0
Pigeonpea,74.379997,74.389999,0.001,915,2017,15,Jharkhand,16063,8959,1702,Palamau,0,0
Pigeonpea,54.669998,66.5,0.002,916,2017,15,Jharkhand,28893,20374,3949,Ranchi,113.4100004,0
Pigeonpea,28.379999,34.57,0,917,2017,15,Jharkhand,2588,1600,122,Singhbhum,0,0
